"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Business or organization obstacles over the next three months, second quarter of 2022","33100504",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310050401",1;2;3,"CURRENT - a cube available to the public and that is current","Occasional","2022-01-01","2022-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Business characteristics",,""
"3","Obstacles for the business or organization",8,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"2","Ownership by visible minority, Arab","","50","44","",,
"2","Ownership by visible minority, Southeast Asian","","51","44","",,
"2","Ownership by visible minority, West Asian","","52","44","",,
"2","Ownership by visible minority, Korean","","53","44","",,
"2","Ownership by visible minority, Japanese","","54","44","",,
"2","Ownership by visible minority, other visible minority","","55","44","",,
"2","Ownership by visible minority, preferred not to say","","56","44","",,
"2","Exported goods outside of Canada","","58","57","",,
"2","Exported services outside of Canada","","59","57","",,
"2","Made investments outside of Canada","","60","57","",,
"2","Sold goods to businesses in Canada who then resold them outside of Canada","","61","57","",,
"2","Imported goods from outside of Canada","","62","57","",,
"2","Imported services from outside of Canada","","63","57","",,
"2","Relocated any business or organizational activities or employees from another country into Canada","","64","57","",,
"2","Engaged in other international business activities","","65","57","",,
"2","Business or organization activity, none or other","","66","57","",,
"2","Business or organization size of employment, all employment sizes","","18","","",4,
"2","Business or organization type, all businesses or organizations","","23","","",,
"2","Age of business or organization, all ages","","29","","",,
"2","Geography, all geography","","34","","",,
"2","Majority ownership, all ownerships","","37","","",5,
"2","Ownership by visible minority, all visible minorities","","44","","",7,
"2","Business or organization activity in the last 12 months, all business or organization activities","","57","","",,
"2","North American Industry Classification System (NAICS), all industries","","1","","",,
"3","Difficulty acquiring inputs, products or supplies domestically","","7","","",,
"3","Difficulty acquiring inputs, products or supplies from abroad","","8","","",,
"3","Maintaining inventory levels","","9","","",,
"3","Insufficient demand for goods or services offered","","10","","",,
"3","Fluctuations in consumer demand ","","11","","",,
"3","Attracting new or returning customers ","","12","","",,
"3","Cost of insurance","","13","","",,
"3","Transportation costs","","14","","",,
"3","Obtaining financing  ","","15","","",,
"3","Travel restrictions and travel bans","","16","","",,
"3","Increasing competition  ","","17","","",,
"3","Challenges related to exporting goods and services  ","","18","","",,
"3","Maintaining sufficient cash flow or managing debt  ","","19","","",,
"3","Entry to new markets","","20","","",,
"3","Technology sold by the business or organization becoming obsolete","","21","","",,
"3","Technology used by the business or organization becoming obsolete","","22","","",,
"3","Obstacles for the business or organization, other","","23","","",,
"3","Obstacles for the business or organization, none","","24","","",,
"3","Recruiting skilled employees ","","2","","",,
"3","Retaining skilled employees ","","3","","",,
"3","Shortage of space or equipment ","","4","","",,
"3","Rising cost of inputs  ","","5","","",,
"3","Cost of personal protective equipment (PPE), additional cleaning or implementing distancing requirements","","6","","",,
"3","Shortage of labour force","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5318","Canadian Survey on Business Conditions"

"Subject Code","Subject Name"
"33","Business performance and ownership"

"Note ID",Note
1,"Source: Statistics Canada, Canadian Survey on Business Conditions, second quarter of 2022."
2,"Estimates are subject to sampling error. This error can be expressed as a standard error. All estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the standard error (expressed as a percentage). A = Excellent (0.00% to less than 2.50%), B = Very good (2.50% to less than 5.00%), C = Good (5.00% to less than 7.50%), D = Acceptable (7.50% to less than 10.00%), E = Use with caution (10.00% to less than 15.00%), F = Too unreliable to be published (Greater than or equal to 15%, data are suppressed)."
3,"Figures may not add to 100% due to rounding."
4,"This includes all employees who would receive a Statement of Remuneration Paid (T4). Excluded from number of employees are business owners, contract workers and other personnel who would not receive a T4."
5,"Majority ownership is defined at 51% or more. Majority-ownership was self-reported for private sector businesses only."
6,"The term LGBTQ2 refers to persons who identify as lesbian, gay, bisexual, transgender, queer and/or two-spirited."
7,"Respondents were asked if the business or organization identified as being majority owned (51% or more) by any visible minority. If so, the business or organization was asked to identify all visible minority types that made up majority ownership. Figures may not represent majority ownership by a specific visible minority."
8,"The results in this table are based on the survey that was in collection from April 1 to May 6, 2022, and respondents were asked what their expectations would be over the next three-month period. As a result, those three months could range from April 1 to August 6, 2022, depending on when the business responded."

"Correction ID","Correction Date","Correction Note"
